"clusterName","Location","cifsServerName","cifsShareName","cifsSharePath","cifsShareComments","hostingVolume","hostingVolumeUsedSize(GB)"
"thunder","Brisbane","thunderSVM065","BPunit","/thunderSVM065_vol006/legacydata5/BPunit",,"thunderSVM065_vol006","11270"
"thunder","Brisbane","thunderSVM065","POS_DEV","/thunderSVM065_vol002/legacydata1/POS_DEV",,"thunderSVM065_vol002","4417"
"thunder","Brisbane","AU2106NT0050","Sales&ServiceHomeU104Link3","/vol/AU2106NT0050_vol001/Sales&ServiceHomeU104Link3",,"AU2106NT0050_vol001","11"
"thunder","Brisbane","thunderSVM065","PMP","/thunderSVM065_vol006/legacydata5/PMP",,"thunderSVM065_vol006","11270"
"thunder","Brisbane","thunderSVM065","DRTEST3","/thunderSVM065_vol004/legacydata3/DRTEST3",,"thunderSVM065_vol004","9727"
"thunder","Brisbane","thunderSVM066","IMI-VMSS","/thunderSVM066_vol008/IMI-VMSS","VMware team share","thunderSVM066_vol008","8178"
"thunder","Brisbane","thunderSVM086","profiles1","/thunderSVM086_vol003/profiles1",,"thunderSVM086_vol003","22"
"thunder","Brisbane","AU2106NT0050","GroupOperationsProfileU104Link1","/vol/AU2106NT0050_vol001/GroupOperationsProfileU104Link1",,"AU2106NT0050_vol001","11"
"thunder","Brisbane","AU2106NT0050","CorpITHomeU106Link0","/vol/AU2106NT0050_vol001/CorpITHomeU106Link0",,"AU2106NT0050_vol001","11"
"thunder","Brisbane","thunderSVM053","GroupOperationsGroupdataU106","/vol/thunderSVM053_vol002/GroupOperationsGroupdataU106",,"thunderSVM053_vol002","30103"
"thunder","Brisbane","thunderSVM051","Sales&ServiceHomeU106Link8","/vol/thunderSVM051_vol001/Sales&ServiceHomeU106Link8",,"thunderSVM051_vol001","5178"
"thunder","Brisbane","thunderSVM066","np0006_group3_dr","/thunderSVM066_vol003",,"thunderSVM066_vol003","10"
"thunder","Brisbane","thunderSVM066","Enterprise","/thunderSVM066_vol001/Groupdata/Enterprise",,"thunderSVM066_vol001","90146"
"thunder","Brisbane","thunderSVM064","np0017_home1_dr","/thunderSVM064_vol001",,"thunderSVM064_vol001","8437"
"thunder","Brisbane","AU2106NT0050","SBTestPermissions","/vol/AU2106NT0050_vol002/SBTestPermissions",,"AU2106NT0050_vol002","190"
"thunder","Brisbane","thunderSVM065","Applications","/thunderSVM065_vol004/legacydata3/Applications",,"thunderSVM065_vol004","9727"
"thunder","Brisbane","thunderSVM067","LegacyData2","/thunderSVM067_vol002/legacydata2","LegacyData2","thunderSVM067_vol002","3234"
"thunder","Brisbane","thunderSVM065","GRM_60MP","/thunderSVM065_vol003/legacydata2/GRM_60MP",,"thunderSVM065_vol003","50460"
"thunder","Brisbane","thunderSVM065","GORC","/thunderSVM065_vol007/groupdata/GORC",,"thunderSVM065_vol007","44672"
"thunder","Brisbane","AU2106NT0050","GroupOperationsHomeU106Link0","/vol/AU2106NT0050_vol001/GroupOperationsHomeU106Link0",,"AU2106NT0050_vol001","11"
"thunder","Brisbane","thunderSVM050","RetailHomeU106Link2","/vol/thunderSVM050_vol001/RetailHomeU106Link2",,"thunderSVM050_vol001","6758"
"thunder","Brisbane","AU2106NT0050","TEST_TM1_Sync_Files","/AU2106NT0050_TM1/TEST_TM1_Sync_Files",,"AU2106NT0050_TM1","397"
"thunder","Brisbane","thunderSVM063","Home1","/thunderSVM063_vol001/home1",,"thunderSVM063_vol001","25744"
"thunder","Brisbane","thunderSVM075","CriticalData","/thunderSVM075_vol001/CriticalData",,"thunderSVM075_vol001","3590"
"thunder","Brisbane","thunderSVM066","HPaaS-Softwares","/thunderSVM066_vol008/HPaaS-Softwares",,"thunderSVM066_vol008","8178"
"thunder","Brisbane","thunderSVM050","RetailProfileU106Link6","/vol/thunderSVM050_vol001/RetailProfileU106Link6",,"thunderSVM050_vol001","6758"
"thunder","Brisbane","thunderSVM065","ITTrans","/thunderSVM065_vol005/legacydata4/ITTrans",,"thunderSVM065_vol005","13486"
"thunder","Brisbane","thunderSVM065","tps","/thunderSVM065_vol002/legacydata1/tps",,"thunderSVM065_vol002","4417"
"thunder","Brisbane","thunderSVM065","GTBExec","/thunderSVM065_vol005/legacydata4/GTBExec",,"thunderSVM065_vol005","13486"
